"Cob","CobLog","past.o","past","Lemma.Class","Lemma.Cob","Lemma.CobLog","present.o","present","ending.2","ending.3","regular","category","class","monosyl","moder"
10,0,"mobilized","m5bIl2zd","V",155,0.95,"mobilize","m5bIl2z","ed","","Y",NA,"regular",FALSE,NA
11,0,"mocked","mQkt","V",173,1,"mock","mQk","ed","","Y",NA,"regular",TRUE,NA
14,0,"modelled","mQdPd","V",91,0.7,"model","mQdP","ed","","Y",NA,"regular",FALSE,NA
3,0,"moderated","mQd@r1tId","V",48,0.48,"moderate","mQd@r1t","ed","","Y",NA,"regular",FALSE,NA
5,0,"modernized","mQd@n2zd","V",90,0.7,"modernize","mQd@n2z","ed","","Y",NA,"regular",FALSE,NA
43,0.301,"modified","mQdIf2d","V",325,1.26,"modify","mQdIf2","ed","","Y",NA,"regular",FALSE,NA
5,0,"modulated","mQdjUl1tId","V",31,0.3,"modulate","mQdjUl1t","ed","","Y",NA,"regular",FALSE,NA
4,0,"moistened","m4sHd","V",41,0.3,"moisten","m4sH","ed","","Y",NA,"regular",FALSE,NA
4,0,"molested","m5lEstId","V",28,0.3,"molest","m5lEst","ed","","Y",NA,"regular",FALSE,NA
5,0,"mollified","mQlIf2d","V",35,0.3,"mollify","mQlIf2","ed","","Y",NA,"regular",FALSE,NA
15,0,"monitored","mQnIt@d","V",245,1.15,"monitor","mQnIt@R","ed","","Y",NA,"regular",FALSE,NA
4,0,"monopolized","m@nQp@l2zd","V",43,0.3,"monopolize","m@nQp@l2z","ed","","Y",NA,"regular",FALSE,NA
1,0,"mooed","mud","V",13,0,"moo","mu","ed","","Y",NA,"regular",TRUE,NA
1,0,"mooched","muJt","V",18,0,"mooch","muJ","ed","","Y",NA,"regular",TRUE,NA
6,0,"moored","m$d","V",55,0.48,"moor","m$R","ed","","Y",NA,"regular",TRUE,NA
2,0,"mooted","mutId","V",18,0,"moot","mut","ed","","Y","mono","regular",TRUE,NA
6,0,"mopped","mQpt","V",102,0.78,"mop","mQp","ed","","Y",NA,"regular",TRUE,NA
1,0,"moralized","mQr@l2zd","V",30,0.3,"moralize","mQr@l2z","ed","","Y",NA,"regular",FALSE,NA
1,0,"mortared","m$t@d","V",10,0,"mortar","m$t@R","ed","","Y",NA,"regular",FALSE,NA
5,0,"mortgaged","m$gI_d","V",39,0.3,"mortgage","m$gI_","ed","","Y",NA,"regular",FALSE,NA
3,0,"mortified","m$tIf2d","V",22,0,"mortify","m$tIf2","ed","","Y",NA,"regular",FALSE,NA
1,0,"mothered","mVD@d","V",50,0.48,"mother","mVD@R","ed","","Y",NA,"regular",FALSE,NA
14,0,"motioned","m5SHd","V",80,0.6,"motion","m5SH","ed","","Y",NA,"regular",FALSE,NA
28,0.301,"motivated","m5tIv1tId","V",187,1,"motivate","m5tIv1t","ed","","Y",NA,"regular",FALSE,NA
2,0,"motored","m5t@d","V",52,0.48,"motor","m5t@R","ed","","Y",NA,"regular",FALSE,NA
6,0,"motorized","m5t@r2zd","V",30,0.3,"motorize","m5t@r2z","ed","","Y",NA,"regular",FALSE,NA
1,0,"mottled","mQtPd","V",15,0,"mottle","mQtP","ed","","Y",NA,"regular",FALSE,NA
15,0,"moulded","m5ldId","V",137,0.9,"mould","m5ld","ed","","Y",NA,"regular",TRUE,NA
1,0,"moulted","m5ltId","V",14,0,"moult","m5lt","ed","","Y","mono","regular",TRUE,NA
77,0.6021,"mounted","m6ntId","V",730,1.61,"mount","m6nt","ed","","Y","mono","regular",TRUE,NA
9,0,"mourned","m$nd","V",110,0.78,"mourn","m$n","ed","","Y",NA,"regular",TRUE,NA
3,0,"mouthed","m6Dd","V",37,0.3,"mouth","m6D","ed","","Y",NA,"regular",TRUE,NA
628,1.5441,"moved","muvd","V",7653,2.63,"move","muv","ed","","Y",NA,"regular",TRUE,NA
2,0,"mowed","m5d","V",84,0.7,"mow","m5","ed","","Y",NA,"regular",TRUE,NA
3,0,"mucked","mVkt","V",42,0.3,"muck","mVk","ed","","Y",NA,"regular",TRUE,NA
14,0,"muddled","mVdPd","V",93,0.7,"muddle","mVdP","ed","","Y",NA,"regular",FALSE,NA
2,0,"muddied","mVdId","V",17,0,"muddy","mVdI","ed","","Y",NA,"regular",FALSE,NA
2,0,"muffed","mVft","V",11,0,"muff","mVf","ed","","Y",NA,"regular",TRUE,NA
24,0,"muffled","mVfPd","V",137,0.9,"muffle","mVfP","ed","","Y",NA,"regular",FALSE,NA
2,0,"mugged","mVgd","V",21,0,"mug","mVg","ed","","Y",NA,"regular",TRUE,NA
2,0,"mulled","mVld","V",24,0,"mull","mVl","ed","","Y",NA,"regular",TRUE,NA
17,0,"multiplied","mVltIpl2d","V",256,1.15,"multiply","mVltIpl2","ed","","Y",NA,"regular",FALSE,NA
29,0.301,"mumbled","mVmbPd","V",296,1.23,"mumble","mVmbP","ed","","Y",NA,"regular",FALSE,NA
2,0,"mummified","mVmIf2d","V",10,0,"mummify","mVmIf2","ed","","Y",NA,"regular",FALSE,NA
5,0,"munched","mVnJt","V",85,0.7,"munch","mVnJ","ed","","Y",NA,"regular",TRUE,NA
56,0.4771,"murdered","m3d@d","V",445,1.4,"murder","m3d@R","ed","","Y",NA,"regular",FALSE,NA
43,0.301,"murmured","m3m@d","V",318,1.26,"murmur","m3m@R","ed","","Y",NA,"regular",FALSE,NA
7,0,"mused","mjuzd","V",59,0.48,"muse","mjuz","ed","","Y",NA,"regular",TRUE,NA
3,0,"mushroomed","mVSrUmd","V",26,0,"mushroom","mVSrUm","ed","","Y",NA,"regular",FALSE,NA
2,0,"mussed","mVst","V",12,0,"muss","mVs","ed","","Y",NA,"regular",TRUE,NA
3,0,"mustered","mVst@d","V",100,0.78,"muster","mVst@R","ed","","Y",NA,"regular",FALSE,NA
2,0,"mutated","mjut1tId","V",13,0,"mutate","mjut1t","ed","","Y",NA,"regular",FALSE,NA
5,0,"muted","mjutId","V",32,0.3,"mute","mjut","ed","","Y","mono","regular",TRUE,NA
10,0,"mutilated","mjutIl1tId","V",68,0.6,"mutilate","mjutIl1t","ed","","Y",NA,"regular",FALSE,NA
46,0.4771,"muttered","mVt@d","V",414,1.36,"mutter","mVt@R","ed","","Y",NA,"regular",FALSE,NA
1,0,"muzzled","mVzPd","V",12,0,"muzzle","mVzP","ed","","Y",NA,"regular",FALSE,NA
7,0,"mystified","mIstIf2d","V",53,0.48,"mystify","mIstIf2","ed","","Y",NA,"regular",FALSE,NA
1,0,"nabbed","n{bd","V",10,0,"nab","n{b","ed","","Y",NA,"regular",TRUE,NA
6,0,"nagged","n{gd","V",163,0.95,"nag","n{g","ed","","Y",NA,"regular",TRUE,NA
12,0,"nailed","n1ld","V",112,0.78,"nail","n1l","ed","","Y",NA,"regular",TRUE,NA
191,1.0414,"named","n1md","V",1039,1.76,"name","n1m","ed","","Y",NA,"regular",TRUE,NA
1,0,"napped","n{pt","V",21,0,"nap","n{p","ed","","Y",NA,"regular",TRUE,NA
1,0,"narrated","n@r1tId","V",13,0,"narrate","n@r1t","ed","","Y",NA,"regular",FALSE,NA
21,0,"narrowed","n{r5d","V",268,1.18,"narrow","n{r5","ed","","Y",NA,"regular",FALSE,NA
34,0.301,"nationalized","n{SH@l2zd","V",214,1.08,"nationalize","n{SH@l2z","ed","","Y",NA,"regular",FALSE,NA
5,0,"naturalized","n{Jr@l2zd","V",30,0.3,"naturalize","n{Jr@l2z","ed","","Y",NA,"regular",FALSE,NA
5,0,"nauseated","n$sI1tId","V",53,0.48,"nauseate","n$sI1t","ed","","Y",NA,"regular",FALSE,NA
1,0,"navigated","n{vIg1tId","V",25,0,"navigate","n{vIg1t","ed","","Y",NA,"regular",FALSE,NA
6,0,"neared","n7d","V",99,0.78,"near","n7R","ed","","Y",NA,"regular",TRUE,NA
6,0,"necessitated","nIsEsIt1tId","V",73,0.6,"necessitate","nIsEsIt1t","ed","","Y",NA,"regular",FALSE,NA
551,1.4914,"needed","nidId","V",9955,2.74,"need","nid","ed","","Y","ove","regular",TRUE,"DROVE"
1,0,"needled","nidPd","V",31,0.3,"needle","nidP","ed","","Y",NA,"regular",FALSE,NA
2,0,"negated","nIg1tId","V",35,0.3,"negate","nIg1t","ed","","Y",NA,"regular",FALSE,NA
65,0.6021,"neglected","nIglEktId","V",452,1.4,"neglect","nIglEkt","ed","","Y",NA,"regular",FALSE,NA
19,0,"negotiated","nIg5SI1tId","V",360,1.3,"negotiate","nIg5SI1t","ed","","Y",NA,"regular",FALSE,NA
1,0,"nerved","n3vd","V",11,0,"nerve","n3v","ed","","Y",NA,"regular",TRUE,NA
2,0,"nested","nEstId","V",40,0.3,"nest","nEst","ed","","Y","mono","regular",TRUE,NA
5,0,"nestled","nEsPd","V",57,0.48,"nestle","nEsP","ed","","Y",NA,"regular",FALSE,NA
2,0,"netted","nEtId","V",12,0,"nett","nEt","ed","","Y","mono","regular",TRUE,NA
2,0,"nettled","nEtPd","V",10,0,"nettle","nEtP","ed","","Y",NA,"regular",FALSE,NA
2,0,"neutered","njut@d","V",32,0.3,"neuter","njut@R","ed","","Y",NA,"regular",FALSE,NA
6,0,"neutralized","njutr@l2zd","V",67,0.6,"neutralize","njutr@l2z","ed","","Y",NA,"regular",FALSE,NA
7,0,"nibbled","nIbPd","V",92,0.7,"nibble","nIbP","ed","","Y",NA,"regular",FALSE,NA
3,0,"nicked","nIkt","V",35,0.3,"nick","nIk","ed","","Y",NA,"regular",TRUE,NA
5,0,"nicknamed","nIkn1md","V",26,0,"nickname","nIkn1m","ed","","Y",NA,"regular",FALSE,NA
1,0,"niggled","nIgPd","V",13,0,"niggle","nIgP","ed","","Y",NA,"regular",FALSE,NA
6,0,"nipped","nIpt","V",72,0.6,"nip","nIp","ed","","Y",NA,"regular",TRUE,NA
227,1.1139,"nodded","nQdId","V",1413,1.9,"nod","nQd","ed","","Y",NA,"regular",TRUE,NA
